model_label,family_label,architecture_kind,alpha,beta,auc
ESM2-35M,esm,masked_encoder,0.0,1.0,0.41006211180124225
ESM2-35M,esm,masked_encoder,0.05,0.95,0.41093167701863353
ESM2-35M,esm,masked_encoder,0.1,0.9,0.4125465838509317
ESM2-35M,esm,masked_encoder,0.15,0.85,0.4160869565217391
ESM2-35M,esm,masked_encoder,0.2,0.8,0.41708074534161493
ESM2-35M,esm,masked_encoder,0.25,0.75,0.42006211180124226
ESM2-35M,esm,masked_encoder,0.3,0.7,0.4215527950310559
ESM2-35M,esm,masked_encoder,0.35,0.65,0.4257763975155279
ESM2-35M,esm,masked_encoder,0.4,0.6,0.4294409937888199
ESM2-35M,esm,masked_encoder,0.45,0.55,0.4328571428571429
ESM2-35M,esm,masked_encoder,0.5,0.5,0.436832298136646
ESM2-35M,esm,masked_encoder,0.55,0.44999999999999996,0.4408074534161491
ESM2-35M,esm,masked_encoder,0.6,0.4,0.446583850931677
ESM2-35M,esm,masked_encoder,0.65,0.35,0.4520496894409938
ESM2-35M,esm,masked_encoder,0.7,0.30000000000000004,0.45577639751552795
ESM2-35M,esm,masked_encoder,0.75,0.25,0.46316770186335404
ESM2-35M,esm,masked_encoder,0.8,0.19999999999999996,0.47055900621118013
ESM2-35M,esm,masked_encoder,0.85,0.15000000000000002,0.47403726708074534
ESM2-35M,esm,masked_encoder,0.9,0.09999999999999998,0.47658385093167704
ESM2-35M,esm,masked_encoder,0.95,0.050000000000000044,0.48074534161490684
ESM2-35M,esm,masked_encoder,1.0,0.0,0.48795031055900623
ESM2-150M,esm,masked_encoder,0.0,1.0,0.5990062111801242
ESM2-150M,esm,masked_encoder,0.05,0.95,0.614223602484472
ESM2-150M,esm,masked_encoder,0.1,0.9,0.6311801242236025
ESM2-150M,esm,masked_encoder,0.15,0.85,0.6464596273291926
ESM2-150M,esm,masked_encoder,0.2,0.8,0.6642236024844721
ESM2-150M,esm,masked_encoder,0.25,0.75,0.6788819875776397
ESM2-150M,esm,masked_encoder,0.3,0.7,0.6949689440993789
ESM2-150M,esm,masked_encoder,0.35,0.65,0.7105590062111802
ESM2-150M,esm,masked_encoder,0.4,0.6,0.7188819875776398
ESM2-150M,esm,masked_encoder,0.45,0.55,0.7267080745341615
ESM2-150M,esm,masked_encoder,0.5,0.5,0.7339751552795031
ESM2-150M,esm,masked_encoder,0.55,0.44999999999999996,0.7369565217391304
ESM2-150M,esm,masked_encoder,0.6,0.4,0.7386335403726708
ESM2-150M,esm,masked_encoder,0.65,0.35,0.7381366459627329
ESM2-150M,esm,masked_encoder,0.7,0.30000000000000004,0.735527950310559
ESM2-150M,esm,masked_encoder,0.75,0.25,0.727639751552795
ESM2-150M,esm,masked_encoder,0.8,0.19999999999999996,0.7134782608695652
ESM2-150M,esm,masked_encoder,0.85,0.15000000000000002,0.6935403726708075
ESM2-150M,esm,masked_encoder,0.9,0.09999999999999998,0.6680745341614907
ESM2-150M,esm,masked_encoder,0.95,0.050000000000000044,0.6360248447204969
ESM2-150M,esm,masked_encoder,1.0,0.0,0.6085093167701864
ESM2-650M,esm,masked_encoder,0.0,1.0,0.5804968944099379
ESM2-650M,esm,masked_encoder,0.05,0.95,0.5908695652173913
ESM2-650M,esm,masked_encoder,0.1,0.9,0.6019875776397515
ESM2-650M,esm,masked_encoder,0.15,0.85,0.6095652173913043
ESM2-650M,esm,masked_encoder,0.2,0.8,0.6181987577639751
ESM2-650M,esm,masked_encoder,0.25,0.75,0.6270186335403727
ESM2-650M,esm,masked_encoder,0.3,0.7,0.6375155279503105
ESM2-650M,esm,masked_encoder,0.35,0.65,0.648695652173913
ESM2-650M,esm,masked_encoder,0.4,0.6,0.6555900621118013
ESM2-650M,esm,masked_encoder,0.45,0.55,0.6622360248447205
ESM2-650M,esm,masked_encoder,0.5,0.5,0.667639751552795
ESM2-650M,esm,masked_encoder,0.55,0.44999999999999996,0.6745962732919255
ESM2-650M,esm,masked_encoder,0.6,0.4,0.6790683229813664
ESM2-650M,esm,masked_encoder,0.65,0.35,0.6784472049689441
ESM2-650M,esm,masked_encoder,0.7,0.30000000000000004,0.6785714285714286
ESM2-650M,esm,masked_encoder,0.75,0.25,0.6748447204968944
ESM2-650M,esm,masked_encoder,0.8,0.19999999999999996,0.6688198757763976
ESM2-650M,esm,masked_encoder,0.85,0.15000000000000002,0.6571428571428571
ESM2-650M,esm,masked_encoder,0.9,0.09999999999999998,0.636832298136646
ESM2-650M,esm,masked_encoder,0.95,0.050000000000000044,0.6080745341614907
ESM2-650M,esm,masked_encoder,1.0,0.0,0.574223602484472
ESM2-3B,esm,masked_encoder,0.0,1.0,0.7351552795031056
ESM2-3B,esm,masked_encoder,0.05,0.95,0.763167701863354
ESM2-3B,esm,masked_encoder,0.1,0.9,0.7869565217391304
ESM2-3B,esm,masked_encoder,0.15,0.85,0.8040993788819876
ESM2-3B,esm,masked_encoder,0.2,0.8,0.8185714285714286
ESM2-3B,esm,masked_encoder,0.25,0.75,0.8325465838509317
ESM2-3B,esm,masked_encoder,0.3,0.7,0.8397515527950311
ESM2-3B,esm,masked_encoder,0.35,0.65,0.8433540372670807
ESM2-3B,esm,masked_encoder,0.4,0.6,0.8464596273291926
ESM2-3B,esm,masked_encoder,0.45,0.55,0.8470807453416149
ESM2-3B,esm,masked_encoder,0.5,0.5,0.8433540372670807
ESM2-3B,esm,masked_encoder,0.55,0.44999999999999996,0.8369565217391305
ESM2-3B,esm,masked_encoder,0.6,0.4,0.8245962732919254
ESM2-3B,esm,masked_encoder,0.65,0.35,0.8098757763975155
ESM2-3B,esm,masked_encoder,0.7,0.30000000000000004,0.7936645962732919
ESM2-3B,esm,masked_encoder,0.75,0.25,0.7751552795031056
ESM2-3B,esm,masked_encoder,0.8,0.19999999999999996,0.7545962732919255
ESM2-3B,esm,masked_encoder,0.85,0.15000000000000002,0.7339130434782609
ESM2-3B,esm,masked_encoder,0.9,0.09999999999999998,0.7075155279503106
ESM2-3B,esm,masked_encoder,0.95,0.050000000000000044,0.6783850931677019
ESM2-3B,esm,masked_encoder,1.0,0.0,0.6459006211180124
ESM-1v,esm_variant_specialist,masked_encoder,0.0,1.0,0.6825465838509317
ESM-1v,esm_variant_specialist,masked_encoder,0.05,0.95,0.6940372670807453
ESM-1v,esm_variant_specialist,masked_encoder,0.1,0.9,0.7083229813664597
ESM-1v,esm_variant_specialist,masked_encoder,0.15,0.85,0.723167701863354
ESM-1v,esm_variant_specialist,masked_encoder,0.2,0.8,0.7380745341614907
ESM-1v,esm_variant_specialist,masked_encoder,0.25,0.75,0.7530434782608696
ESM-1v,esm_variant_specialist,masked_encoder,0.3,0.7,0.7670807453416149
ESM-1v,esm_variant_specialist,masked_encoder,0.35,0.65,0.7798757763975155
ESM-1v,esm_variant_specialist,masked_encoder,0.4,0.6,0.7908695652173913
ESM-1v,esm_variant_specialist,masked_encoder,0.45,0.55,0.7968322981366459
ESM-1v,esm_variant_specialist,masked_encoder,0.5,0.5,0.804223602484472
ESM-1v,esm_variant_specialist,masked_encoder,0.55,0.44999999999999996,0.8073291925465839
ESM-1v,esm_variant_specialist,masked_encoder,0.6,0.4,0.8086335403726708
ESM-1v,esm_variant_specialist,masked_encoder,0.65,0.35,0.8070807453416149
ESM-1v,esm_variant_specialist,masked_encoder,0.7,0.30000000000000004,0.8047204968944099
ESM-1v,esm_variant_specialist,masked_encoder,0.75,0.25,0.7959006211180124
ESM-1v,esm_variant_specialist,masked_encoder,0.8,0.19999999999999996,0.7836645962732919
ESM-1v,esm_variant_specialist,masked_encoder,0.85,0.15000000000000002,0.7678260869565218
ESM-1v,esm_variant_specialist,masked_encoder,0.9,0.09999999999999998,0.7524844720496895
ESM-1v,esm_variant_specialist,masked_encoder,0.95,0.050000000000000044,0.7331055900621118
ESM-1v,esm_variant_specialist,masked_encoder,1.0,0.0,0.7122360248447205
ProtT5,prottrans,encoder_decoder,0.0,1.0,0.40304347826086956
ProtT5,prottrans,encoder_decoder,0.05,0.95,0.4016770186335404
ProtT5,prottrans,encoder_decoder,0.1,0.9,0.4004968944099379
ProtT5,prottrans,encoder_decoder,0.15,0.85,0.4004968944099379
ProtT5,prottrans,encoder_decoder,0.2,0.8,0.39993788819875775
ProtT5,prottrans,encoder_decoder,0.25,0.75,0.39925465838509316
ProtT5,prottrans,encoder_decoder,0.3,0.7,0.3988198757763975
ProtT5,prottrans,encoder_decoder,0.35,0.65,0.39944099378881986
ProtT5,prottrans,encoder_decoder,0.4,0.6,0.39962732919254657
ProtT5,prottrans,encoder_decoder,0.45,0.55,0.4013664596273292
ProtT5,prottrans,encoder_decoder,0.5,0.5,0.40267080745341616
ProtT5,prottrans,encoder_decoder,0.55,0.44999999999999996,0.4046583850931677
ProtT5,prottrans,encoder_decoder,0.6,0.4,0.40639751552795034
ProtT5,prottrans,encoder_decoder,0.65,0.35,0.40695652173913044
ProtT5,prottrans,encoder_decoder,0.7,0.30000000000000004,0.4091304347826087
ProtT5,prottrans,encoder_decoder,0.75,0.25,0.41130434782608694
ProtT5,prottrans,encoder_decoder,0.8,0.19999999999999996,0.41378881987577637
ProtT5,prottrans,encoder_decoder,0.85,0.15000000000000002,0.4158385093167702
ProtT5,prottrans,encoder_decoder,0.9,0.09999999999999998,0.4177639751552795
ProtT5,prottrans,encoder_decoder,0.95,0.050000000000000044,0.42086956521739133
ProtT5,prottrans,encoder_decoder,1.0,0.0,0.42391304347826086
ProtBERT,bert_style,bidirectional_encoder,0.0,1.0,0.45472049689440996
ProtBERT,bert_style,bidirectional_encoder,0.05,0.95,0.45652173913043476
ProtBERT,bert_style,bidirectional_encoder,0.1,0.9,0.4593167701863354
ProtBERT,bert_style,bidirectional_encoder,0.15,0.85,0.4622360248447205
ProtBERT,bert_style,bidirectional_encoder,0.2,0.8,0.46695652173913044
ProtBERT,bert_style,bidirectional_encoder,0.25,0.75,0.47093167701863353
ProtBERT,bert_style,bidirectional_encoder,0.3,0.7,0.47391304347826085
ProtBERT,bert_style,bidirectional_encoder,0.35,0.65,0.478695652173913
ProtBERT,bert_style,bidirectional_encoder,0.4,0.6,0.48490683229813664
ProtBERT,bert_style,bidirectional_encoder,0.45,0.55,0.4891304347826087
ProtBERT,bert_style,bidirectional_encoder,0.5,0.5,0.49180124223602484
ProtBERT,bert_style,bidirectional_encoder,0.55,0.44999999999999996,0.4953416149068323
ProtBERT,bert_style,bidirectional_encoder,0.6,0.4,0.49788819875776397
ProtBERT,bert_style,bidirectional_encoder,0.65,0.35,0.5007453416149068
ProtBERT,bert_style,bidirectional_encoder,0.7,0.30000000000000004,0.5046583850931677
ProtBERT,bert_style,bidirectional_encoder,0.75,0.25,0.5078260869565218
ProtBERT,bert_style,bidirectional_encoder,0.8,0.19999999999999996,0.5109316770186335
ProtBERT,bert_style,bidirectional_encoder,0.85,0.15000000000000002,0.5146583850931677
ProtBERT,bert_style,bidirectional_encoder,0.9,0.09999999999999998,0.5191304347826087
ProtBERT,bert_style,bidirectional_encoder,0.95,0.050000000000000044,0.52527950310559
ProtBERT,bert_style,bidirectional_encoder,1.0,0.0,0.5321739130434783
ProtBERT-BFD,bert_style,bidirectional_encoder,0.0,1.0,0.46062111801242234
ProtBERT-BFD,bert_style,bidirectional_encoder,0.05,0.95,0.4614906832298137
ProtBERT-BFD,bert_style,bidirectional_encoder,0.1,0.9,0.46267080745341616
ProtBERT-BFD,bert_style,bidirectional_encoder,0.15,0.85,0.4637888198757764
ProtBERT-BFD,bert_style,bidirectional_encoder,0.2,0.8,0.46366459627329193
ProtBERT-BFD,bert_style,bidirectional_encoder,0.25,0.75,0.4654658385093168
ProtBERT-BFD,bert_style,bidirectional_encoder,0.3,0.7,0.4653416149068323
ProtBERT-BFD,bert_style,bidirectional_encoder,0.35,0.65,0.4670807453416149
ProtBERT-BFD,bert_style,bidirectional_encoder,0.4,0.6,0.4686335403726708
ProtBERT-BFD,bert_style,bidirectional_encoder,0.45,0.55,0.46919254658385096
ProtBERT-BFD,bert_style,bidirectional_encoder,0.5,0.5,0.472111801242236
ProtBERT-BFD,bert_style,bidirectional_encoder,0.55,0.44999999999999996,0.47285714285714286
ProtBERT-BFD,bert_style,bidirectional_encoder,0.6,0.4,0.475527950310559
ProtBERT-BFD,bert_style,bidirectional_encoder,0.65,0.35,0.4798136645962733
ProtBERT-BFD,bert_style,bidirectional_encoder,0.7,0.30000000000000004,0.48409937888198756
ProtBERT-BFD,bert_style,bidirectional_encoder,0.75,0.25,0.48714285714285716
ProtBERT-BFD,bert_style,bidirectional_encoder,0.8,0.19999999999999996,0.49136645962732917
ProtBERT-BFD,bert_style,bidirectional_encoder,0.85,0.15000000000000002,0.49788819875776397
ProtBERT-BFD,bert_style,bidirectional_encoder,0.9,0.09999999999999998,0.5034782608695653
ProtBERT-BFD,bert_style,bidirectional_encoder,0.95,0.050000000000000044,0.506583850931677
ProtBERT-BFD,bert_style,bidirectional_encoder,1.0,0.0,0.5120496894409938
ProGen2-small,progen,causal_decoder,0.0,1.0,0.7237888198757764
ProGen2-small,progen,causal_decoder,0.05,0.95,0.73472049689441
ProGen2-small,progen,causal_decoder,0.1,0.9,0.7452795031055901
ProGen2-small,progen,causal_decoder,0.15,0.85,0.7541614906832298
ProGen2-small,progen,causal_decoder,0.2,0.8,0.7615527950310559
ProGen2-small,progen,causal_decoder,0.25,0.75,0.7698136645962733
ProGen2-small,progen,causal_decoder,0.3,0.7,0.7777639751552795
ProGen2-small,progen,causal_decoder,0.35,0.65,0.78527950310559
ProGen2-small,progen,causal_decoder,0.4,0.6,0.7903726708074534
ProGen2-small,progen,causal_decoder,0.45,0.55,0.794472049689441
ProGen2-small,progen,causal_decoder,0.5,0.5,0.7998757763975155
ProGen2-small,progen,causal_decoder,0.55,0.44999999999999996,0.8020496894409938
ProGen2-small,progen,causal_decoder,0.6,0.4,0.8051552795031056
ProGen2-small,progen,causal_decoder,0.65,0.35,0.8069565217391305
ProGen2-small,progen,causal_decoder,0.7,0.30000000000000004,0.8101242236024845
ProGen2-small,progen,causal_decoder,0.75,0.25,0.8096894409937888
ProGen2-small,progen,causal_decoder,0.8,0.19999999999999996,0.8099378881987578
ProGen2-small,progen,causal_decoder,0.85,0.15000000000000002,0.8080124223602484
ProGen2-small,progen,causal_decoder,0.9,0.09999999999999998,0.8077018633540373
ProGen2-small,progen,causal_decoder,0.95,0.050000000000000044,0.8054037267080746
ProGen2-small,progen,causal_decoder,1.0,0.0,0.8020496894409938
ProGen2-base,progen,causal_decoder,0.0,1.0,0.6860248447204969
ProGen2-base,progen,causal_decoder,0.05,0.95,0.6964596273291925
ProGen2-base,progen,causal_decoder,0.1,0.9,0.7059627329192547
ProGen2-base,progen,causal_decoder,0.15,0.85,0.7160248447204969
ProGen2-base,progen,causal_decoder,0.2,0.8,0.7249068322981367
ProGen2-base,progen,causal_decoder,0.25,0.75,0.733416149068323
ProGen2-base,progen,causal_decoder,0.3,0.7,0.741304347826087
ProGen2-base,progen,causal_decoder,0.35,0.65,0.7496894409937889
ProGen2-base,progen,causal_decoder,0.4,0.6,0.7565217391304347
ProGen2-base,progen,causal_decoder,0.45,0.55,0.7622360248447205
ProGen2-base,progen,causal_decoder,0.5,0.5,0.7667701863354037
ProGen2-base,progen,causal_decoder,0.55,0.44999999999999996,0.7722360248447205
ProGen2-base,progen,causal_decoder,0.6,0.4,0.776583850931677
ProGen2-base,progen,causal_decoder,0.65,0.35,0.781055900621118
ProGen2-base,progen,causal_decoder,0.7,0.30000000000000004,0.7817391304347826
ProGen2-base,progen,causal_decoder,0.75,0.25,0.7818012422360249
ProGen2-base,progen,causal_decoder,0.8,0.19999999999999996,0.7844099378881988
ProGen2-base,progen,causal_decoder,0.85,0.15000000000000002,0.7863975155279503
ProGen2-base,progen,causal_decoder,0.9,0.09999999999999998,0.7879503105590062
ProGen2-base,progen,causal_decoder,0.95,0.050000000000000044,0.787888198757764
ProGen2-base,progen,causal_decoder,1.0,0.0,0.7874534161490683
